Namespace(upscale_factor=3, batchSize=4, testBatchSize=100, nEpochs=30, lr=0.001, cuda=True, mps=False, threads=4, seed=123)
===> Loading datasets
===> Building model
===> Epoch[8](15/50): Loss: 0.0029
===> Epoch[8](16/50): Loss: 0.0030
===> Epoch[8](17/50): Loss: 0.0024
===> Epoch[8](18/50): Loss: 0.0021
===> Epoch[8](19/50): Loss: 0.0041
===> Epoch[8](20/50): Loss: 0.0025
===> Epoch[8](21/50): Loss: 0.0028
===> Epoch[8](22/50): Loss: 0.0053
===> Epoch[8](23/50): Loss: 0.0027
===> Epoch[8](24/50): Loss: 0.0030
===> Epoch[8](25/50): Loss: 0.0026
===> Epoch[8](26/50): Loss: 0.0032
===> Epoch[8](27/50): Loss: 0.0030
===> Epoch[8](28/50): Loss: 0.0021
===> Epoch[8](29/50): Loss: 0.0043
===> Epoch[8](30/50): Loss: 0.0026
===> Epoch[8](31/50): Loss: 0.0033
===> Epoch[8](32/50): Loss: 0.0014
===> Epoch[8](33/50): Loss: 0.0058
===> Epoch[8](34/50): Loss: 0.0043
===> Epoch[8](35/50): Loss: 0.0022
===> Epoch[8](36/50): Loss: 0.0043
===> Epoch[8](37/50): Loss: 0.0028
===> Epoch[8](38/50): Loss: 0.0038
===> Epoch[8](39/50): Loss: 0.0028
===> Epoch[8](40/50): Loss: 0.0028
===> Epoch[8](41/50): Loss: 0.0048
===> Epoch[8](42/50): Loss: 0.0042
===> Epoch[8](43/50): Loss: 0.0033
===> Epoch[8](44/50): Loss: 0.0046
===> Epoch[8](45/50): Loss: 0.0038
===> Epoch[8](46/50): Loss: 0.0016
===> Epoch[8](47/50): Loss: 0.0047
===> Epoch[8](48/50): Loss: 0.0047
===> Epoch[8](49/50): Loss: 0.0067
===> Epoch[8](50/50): Loss: 0.0024
===> Epoch 8 Complete: Avg. Loss: 0.0035
===> Avg. PSNR: 24.1210 dB
Checkpoint saved to model_epoch_8.pth
===> Epoch[9](1/50): Loss: 0.0036
===> Epoch[9](2/50): Loss: 0.0049
===> Epoch[9](3/50): Loss: 0.0029
===> Epoch[9](4/50): Loss: 0.0025
===> Epoch[9](5/50): Loss: 0.0034
===> Epoch[9](6/50): Loss: 0.0019
===> Epoch[9](7/50): Loss: 0.0017
===> Epoch[9](8/50): Loss: 0.0027
===> Epoch[9](9/50): Loss: 0.0024
===> Epoch[9](10/50): Loss: 0.0046
===> Epoch[9](11/50): Loss: 0.0034
===> Epoch[9](12/50): Loss: 0.0043
===> Epoch[9](13/50): Loss: 0.0042
===> Epoch[9](14/50): Loss: 0.0031
===> Epoch[9](15/50): Loss: 0.0040
===> Epoch[9](16/50): Loss: 0.0045
===> Epoch[9](17/50): Loss: 0.0013
===> Epoch[9](18/50): Loss: 0.0031
===> Epoch[9](19/50): Loss: 0.0027
===> Epoch[9](20/50): Loss: 0.0031
===> Epoch[9](21/50): Loss: 0.0032
===> Epoch[9](22/50): Loss: 0.0035
===> Epoch[9](23/50): Loss: 0.0059
===> Epoch[9](24/50): Loss: 0.0045
===> Epoch[9](25/50): Loss: 0.0041
===> Epoch[9](26/50): Loss: 0.0020
===> Epoch[9](27/50): Loss: 0.0049
===> Epoch[9](28/50): Loss: 0.0041
===> Epoch[9](29/50): Loss: 0.0040
===> Epoch[9](30/50): Loss: 0.0056
===> Epoch[9](31/50): Loss: 0.0021
===> Epoch[9](32/50): Loss: 0.0011
===> Epoch[9](33/50): Loss: 0.0074
===> Epoch[9](34/50): Loss: 0.0064
===> Epoch[9](35/50): Loss: 0.0040
===> Epoch[9](36/50): Loss: 0.0016
===> Epoch[9](37/50): Loss: 0.0034
===> Epoch[9](38/50): Loss: 0.0018
===> Epoch[9](39/50): Loss: 0.0025
===> Epoch[9](40/50): Loss: 0.0023
===> Epoch[9](41/50): Loss: 0.0077
===> Epoch[9](42/50): Loss: 0.0016
===> Epoch[9](43/50): Loss: 0.0043
===> Epoch[9](44/50): Loss: 0.0028
===> Epoch[9](45/50): Loss: 0.0044
===> Epoch[9](46/50): Loss: 0.0063
===> Epoch[9](47/50): Loss: 0.0045
===> Epoch[9](48/50): Loss: 0.0043
===> Epoch[9](49/50): Loss: 0.0043
===> Epoch[9](50/50): Loss: 0.0038
===> Epoch 9 Complete: Avg. Loss: 0.0037
===> Avg. PSNR: 24.2160 dB
Checkpoint saved to model_epoch_9.pth
===> Epoch[10](1/50): Loss: 0.0038
===> Epoch[10](2/50): Loss: 0.0013
===> Epoch[10](3/50): Loss: 0.0023
===> Epoch[10](4/50): Loss: 0.0065
===> Epoch[10](5/50): Loss: 0.0030
===> Epoch[10](6/50): Loss: 0.0041
===> Epoch[10](7/50): Loss: 0.0027
===> Epoch[10](8/50): Loss: 0.0048
===> Epoch[10](9/50): Loss: 0.0014
===> Epoch[10](10/50): Loss: 0.0028
===> Epoch[10](11/50): Loss: 0.0048
===> Epoch[10](12/50): Loss: 0.0042
===> Epoch[10](13/50): Loss: 0.0046
===> Epoch[10](14/50): Loss: 0.0034
===> Epoch[10](15/50): Loss: 0.0036
===> Epoch[10](16/50): Loss: 0.0040
===> Epoch[10](17/50): Loss: 0.0027
===> Epoch[10](18/50): Loss: 0.0034
===> Epoch[10](19/50): Loss: 0.0031
===> Epoch[10](20/50): Loss: 0.0030
===> Epoch[10](21/50): Loss: 0.0043
===> Epoch[10](22/50): Loss: 0.0035
===> Epoch[10](23/50): Loss: 0.0016
===> Epoch[10](24/50): Loss: 0.0026
===> Epoch[10](25/50): Loss: 0.0020
===> Epoch[10](26/50): Loss: 0.0031
